County Code,Site Num,Latitude,Longitude,Local Site Name,State Name,County Name,City Name,Location Shown,
7,8,39.76168,-121.84047,Chico-East Avenue,California,Butte,Chico,Chico,
9,1,38.20185,-120.680277,San Andreas-Gold Strike Road,California,Calaveras,San Andreas,San Andreas,
11,1002,39.18919,-121.99887,Colusa-Sunrise Blvd,California,Colusa,Colusa,Colusa,
19,11,36.78538,-119.77321,Fresno - Garland,California,Fresno,Fresno,Mayfair,
19,500,36.985119,-119.658339,Table Mountain Air Monitoring Site,California,Fresno,Not in a city,DairyLand,
19,2009,36.634225,-120.382331,Tranquillity,California,Fresno,Not in a city,Tranquillity,
19,2016,36.710833,-119.7775,Fresno-Foundry,California,Fresno,Fresno,Calwa,
19,5001,36.819449,-119.716433,Clovis-Villa,California,Fresno,Clovis,Clovis,
25,5,32.67618,-115.48307,Calexico-Ethel Street,California,Imperial,Calexico,Calexico,
25,1003,32.79222,-115.56306,El Centro-9th Street,California,Imperial,El Centro,El Centro,
27,2,37.360684,-118.330783,White Mountain Research Center - Owens Valley Lab,California,Inyo,Not in a city,Poleta,
27,1003,36.487823,-117.871036,Keeler,California,Inyo,Keeler,Keeler,
27,1023,37.362137,-118.417478,Bishop Tribe EMO,California,Inyo,Bishop,Bishop,
29,11,35.050551,-118.147294,Mojave,California,Kern,Mojave,Mojava Air & Space Port,
29,14,35.356615,-119.062613,Bakersfield-California,California,Kern,Bakersfield,Bakersfield,
29,18,35.642943,-117.715066,Ridgecrest-Ward,California,Kern,Ridgecrest,Ridgecrest,
29,19,35.046528,-118.162833,Mojave - CA 58 Business,California,Kern,Mojave,Kern County Superior Court ,
31,4,36.102244,-119.56565,Corcoran-Patterson,California,Kings,Corcoran,Corcoran,
31,1004,36.31567,-119.643447,Hanford-Irwin,California,Kings,Hanford,Hanford,
37,2,34.1365,-117.92391,Azusa,California,Los Angeles,Azusa,Azusa,
37,1103,34.06659,-118.22688,Los Angeles-North Main Street,California,Los Angeles,Los Angeles,Los Angeles,
37,1201,34.19925,-118.53276,Reseda,California,Los Angeles,Reseda,Reseda,
37,1302,33.901389,-118.205,Compton,California,Los Angeles,Compton,Compton,
37,1602,34.01029,-118.0685,Pico Rivera #2,California,Los Angeles,Pico Rivera,Pico Rivera,
37,2005,34.1326,-118.1272,Pasadena,California,Los Angeles,Pasadena,Pasadena,
37,4004,33.79236,-118.17533,Long Beach (South),California,Los Angeles,Long Beach,Long Beach (South),
37,4008,33.859662,-118.200707,Long Beach-Route 710 Near Road,California,Los Angeles,Long Beach,Long Beach (North),
39,2010,36.953256,-120.034203,Madera-City,California,Madera,Madera,Madera,
47,3,37.281853,-120.433671,Merced-Coffee,California,Merced,Not in a city,Merced,
51,1,37.64571,-118.96652,Mammoth,California,Mono,Mammoth Lakes,Mammoth Lakes,
51,5,37.962069,-119.120278,Lee Vining,California,Mono,Not in a city,Lee Vining,
